id	kcat_fwd	kcat_bkwd	mw_fwd	mw_bkwd
4NPHSULT	25.0	25.0	68000.0	68000.0
FAH1	25.0	25.0	85300.0	85300.0
FAH2	25.0	25.0	85300.0	85300.0
FAH3	25.0	25.0	85300.0	85300.0
P4502C18	25.0	25.0	85300.0	85300.0
P4502C8	25.0	25.0	85300.0	85300.0
P4502D6	25.0	25.0	85300.0	85300.0
P4502E1	25.0	25.0	85300.0	85300.0
FAS100ACP	25.0	25.0	85300.0	85300.0
FAS140ACP	25.0	25.0	85300.0	85300.0
FAS160ACP	25.0	25.0	85300.0	85300.0
FAS180ACP	25.0	25.0	85300.0	85300.0
FAS80ACP_L	25.0	25.0	85300.0	85300.0
KAS8	25.0	25.0	71000.0	71000.0
ACCOAC	11.8	11.8	265000.0	265000.0
BMTer	25.0	25.0	85300.0	85300.0
GPIMTer	25.0	25.0	85300.0	85300.0
H2MTer	25.0	25.0	85300.0	85300.0
H3MTer	25.0	25.0	85300.0	85300.0
H5MTer	25.0	25.0	85300.0	85300.0
FBA4	25.0	1.38333	95500.0	85300.0
GCALDD	25.0	25.0	225000.0	225000.0
GLXO1	25.0	25.0	127000.0	127000.0
HPYRR2x	25.0	25.0	85300.0	85300.0
HPYRRx	25.0	25.0	85300.0	85300.0
BDMT_cho	25.0	25.0	85300.0	85300.0
DOLASNTer	25.0	25.0	85300.0	85300.0
DOLPGT1er	25.0	25.0	85300.0	85300.0
DOLPGT2er	25.0	25.0	85300.0	85300.0
DOLPGT3er	25.0	25.0	85300.0	85300.0
DOLPMT1er	25.0	25.0	85300.0	85300.0
DOLPMT3er	25.0	25.0	85300.0	85300.0
M13N4Tg	25.0	25.0	63200.0	63200.0
S26Tg	2.7	2.7	58450.0	58450.0
ALDD19x	96.8	96.8	162850.0	162850.0
ALDD19x_P_	25.0	25.0	85300.0	85300.0
PEAMNO	4.0	4.0	200000.0	200000.0
PHETA1	25.0	25.0	78000.0	85300.0
2HBO	65.0	2330.0	137000.0	85300.0
ACCOAL	82.0	82.0	145000.0	145000.0
ACS2	81.6	81.6	80000.0	80000.0
PPCOAOm	19.2	19.2	148500.0	148500.0
2HBt2	25.0	25.0	85300.0	85300.0
4HPROLTASCT1	25.0	25.0	85300.0	85300.0
5ADTSTSTERONEGLCte	25.0	25.0	85300.0	85300.0
5FTHFt2	25.0	25.0	85300.0	85300.0
ABUTt2r	25.0	25.0	85300.0	85300.0
ACACt2	25.0	25.0	85300.0	85300.0
ACt2r	25.0	25.0	85300.0	85300.0
ADEt	25.0	25.0	85300.0	85300.0
ALAASNNaEx	25.0	25.0	85300.0	85300.0
ALACYSNaEx	25.0	25.0	85300.0	85300.0
ALAGLNNaEx	25.0	25.0	85300.0	85300.0
ALASERNaEx	25.0	25.0	85300.0	85300.0
ALAt2r	25.0	25.0	85300.0	85300.0
ALAt4	25.0	25.0	85300.0	85300.0
ALATHRNaEx	25.0	25.0	85300.0	85300.0
ARGt5r	25.0	25.0	85300.0	85300.0
ASCBt4	25.0	25.0	85300.0	85300.0
ASCBt5	25.0	25.0	85300.0	85300.0
ASNALANaEx	25.0	25.0	85300.0	85300.0
ASNCYSNaEx	25.0	25.0	85300.0	85300.0
ASNGLNNaEx	25.0	25.0	85300.0	85300.0
ASNSERNaEx	25.0	25.0	85300.0	85300.0
ASNt4	25.0	25.0	85300.0	85300.0
ASNTHRNaEx	25.0	25.0	85300.0	85300.0
ASPDt6	25.0	25.0	85300.0	85300.0
ASPPROASCT1	25.0	25.0	85300.0	85300.0
BILDGLCURte	25.0	25.0	85300.0	85300.0
BILGLCURte	25.0	25.0	85300.0	85300.0
BTNt3	25.0	25.0	85300.0	85300.0
BTNt3i	25.0	25.0	85300.0	85300.0
BUTt2r	25.0	25.0	85300.0	85300.0
CHOLESTle	25.0	25.0	85300.0	85300.0
CHOLtu	25.0	25.0	85300.0	85300.0
CLFORtex	25.0	25.0	85300.0	85300.0
CLHCOtex	25.0	25.0	85300.0	85300.0
CO2t	25.0	25.0	85300.0	85300.0
CRNt	25.0	25.0	85300.0	85300.0
CRNtHa	25.0	25.0	85300.0	85300.0
CRNtuNa	25.0	25.0	85300.0	85300.0
CSNt	25.0	25.0	85300.0	85300.0
CYSALANaEx	25.0	25.0	85300.0	85300.0
CYSASNNaEx	25.0	25.0	85300.0	85300.0
CYSGLNNaEx	25.0	25.0	85300.0	85300.0
CYSSERNaEx	25.0	25.0	85300.0	85300.0
CYSt4	25.0	25.0	85300.0	85300.0
CYStec	25.0	25.0	85300.0	85300.0
CYSTGLUex	25.0	25.0	85300.0	85300.0
CYSTHRNaEx	25.0	25.0	85300.0	85300.0
D_LACt2	25.0	25.0	85300.0	85300.0
DALAt2r	25.0	25.0	85300.0	85300.0
ESTRADIOLGLCt2	25.0	25.0	85300.0	85300.0
FATP1t	25.0	25.0	85300.0	85300.0
FATP2t	25.0	25.0	85300.0	85300.0
FATP3t	25.0	25.0	85300.0	85300.0
FATP6t	25.0	25.0	85300.0	85300.0
FATP7t	25.0	25.0	85300.0	85300.0
FATP8t	25.0	25.0	85300.0	85300.0
FATP9t	25.0	25.0	85300.0	85300.0
FE2DMT1	25.0	25.0	85300.0	85300.0
FE3MTP1	25.0	25.0	85300.0	85300.0
FRUt1r	25.0	25.0	85300.0	85300.0
GALt1r	25.0	25.0	85300.0	85300.0
GLCt1r	25.0	25.0	85300.0	85300.0
GLCt4	25.0	25.0	85300.0	85300.0
GLNALANaEx	25.0	25.0	85300.0	85300.0
GLNASNNaEx	25.0	25.0	85300.0	85300.0
GLNCYSNaEx	25.0	25.0	85300.0	85300.0
GLNSERNaEx	25.0	25.0	85300.0	85300.0
GLNt4	25.0	25.0	85300.0	85300.0
GLNTHRNaEx	25.0	25.0	85300.0	85300.0
GLUPROASCT1	25.0	25.0	85300.0	85300.0
GLYCt	25.0	25.0	85300.0	85300.0
GLYt2r	25.0	25.0	85300.0	85300.0
GLYt4	25.0	25.0	85300.0	85300.0
GUAt	25.0	25.0	85300.0	85300.0
H2Ot	25.0	25.0	85300.0	85300.0
HCO3_NAt	25.0	25.0	85300.0	85300.0
HDCAtr	25.0	25.0	85300.0	85300.0
HDCEAtr	25.0	25.0	85300.0	85300.0
HISt4	25.0	25.0	85300.0	85300.0
HIStiDF	25.0	25.0	85300.0	85300.0
HOMt4	25.0	25.0	85300.0	85300.0
ILELAT1tc	25.0	25.0	85300.0	85300.0
ILEt4	25.0	25.0	85300.0	85300.0
ILEtec	25.0	25.0	85300.0	85300.0
INSTt2r	25.0	25.0	85300.0	85300.0
KCC2t	25.0	25.0	85300.0	85300.0
KCCt	25.0	25.0	85300.0	85300.0
L_LACt2r	25.0	25.0	85300.0	85300.0
LEUt4	25.0	25.0	85300.0	85300.0
LEUtec	25.0	25.0	85300.0	85300.0
LYSt5r	25.0	25.0	85300.0	85300.0
METt4	25.0	25.0	85300.0	85300.0
METtec	25.0	25.0	85300.0	85300.0
NAHCO3_HCLt2	25.0	25.0	85300.0	85300.0
NaKt	5.0	5.0	105000.0	105000.0
NAt3_1	25.0	25.0	85300.0	85300.0
NAt5	25.0	25.0	85300.0	85300.0
NKCC2t	25.0	25.0	85300.0	85300.0
NKCCt	25.0	25.0	85300.0	85300.0
ORNt	25.0	25.0	85300.0	85300.0
OXAHCOtex	25.0	25.0	85300.0	85300.0
PEFLIP_cho	25.0	25.0	85300.0	85300.0
PHEMEt	25.0	25.0	85300.0	85300.0
PHEt4	25.0	25.0	85300.0	85300.0
PHEtec	25.0	25.0	85300.0	85300.0
PIt8	25.0	25.0	85300.0	85300.0
PIt9	25.0	25.0	85300.0	85300.0
PNTOt1	25.0	25.0	85300.0	85300.0
PNTOt5	25.0	25.0	85300.0	85300.0
PRODt2r	25.0	25.0	85300.0	85300.0
PROSTGE1t	25.0	25.0	85300.0	85300.0
PROSTGE2t	25.0	25.0	85300.0	85300.0
PROt2r	25.0	25.0	85300.0	85300.0
PROt4	25.0	25.0	85300.0	85300.0
